2024-06-18 18:29:30.942 [info] Log level: Info
2024-06-18 18:29:30.942 [info] Validating found git in: "git"
2024-06-18 18:29:30.942 [info] Using git "2.45.2" from "git"
2024-06-18 18:29:30.942 [info] > git rev-parse --show-toplevel [2ms]
2024-06-18 18:29:30.942 [info] > git rev-parse --show-toplevel [2ms]
2024-06-18 18:29:30.947 [info] > git rev-parse --show-toplevel [2ms]
2024-06-18 18:29:31.935 [info] > git rev-parse --show-toplevel [2ms]
2024-06-18 18:35:35.949 [info] > git rev-parse --show-toplevel [5ms]
2024-06-18 18:35:41.828 [info] > git rev-parse --show-toplevel [5ms]
2024-06-18 18:36:42.128 [info] > git rev-parse --show-toplevel [3ms]
2024-06-18 18:36:57.494 [info] > git rev-parse --show-toplevel [6ms]
2024-06-18 18:45:31.653 [info] > git rev-parse --show-toplevel [4ms]
2024-06-18 18:47:02.555 [info] > git rev-parse --show-toplevel [5ms]
2024-06-18 18:49:33.070 [info] > git rev-parse --show-toplevel [1ms]
2024-06-18 18:52:13.028 [info] > git rev-parse --show-toplevel [3ms]
2024-06-18 18:52:14.467 [info] > git rev-parse --show-toplevel [4ms]
2024-06-18 18:52:51.035 [info] > git rev-parse --show-toplevel [4ms]
2024-06-18 18:53:07.924 [info] > git rev-parse --show-toplevel [4ms]
2024-06-18 18:53:21.063 [info] > git rev-parse --show-toplevel [3ms]
2024-06-18 18:53:22.180 [info] > git rev-parse --show-toplevel [2ms]
2024-06-18 18:53:25.288 [info] > git rev-parse --show-toplevel [5ms]
2024-06-18 19:12:41.779 [info] > git rev-parse --show-toplevel [3ms]
2024-06-18 19:12:43.234 [info] > git rev-parse --show-toplevel [5ms]
2024-06-18 19:19:03.028 [info] > git rev-parse --show-toplevel [4ms]
2024-06-18 19:24:51.921 [info] > git rev-parse --show-toplevel [3ms]
2024-06-18 19:24:51.921 [info] fatal: not a git repository (or any of the parent directories): .git
2024-06-18 19:25:08.554 [info] > git rev-parse --show-toplevel [3ms]
2024-06-18 19:25:13.521 [info] > git rev-parse --show-toplevel [4ms]
2024-06-18 19:25:13.521 [info] fatal: not a git repository (or any of the parent directories): .git
2024-06-18 19:25:16.490 [info] > git rev-parse --show-toplevel [5ms]
2024-06-18 19:25:42.081 [info] > git rev-parse --show-toplevel [3ms]
2024-06-18 19:25:42.081 [info] fatal: not a git repository (or any of the parent directories): .git
